project,category,relationship,evidence_level,evidence_observed,direct_reference_scope,scientific_role,prohibited_claim,promotion_requirements,checked_date,source_urls
prisoma,focal repository,reviewed system under analysis,not applicable,"Snapshot 64bd881248463e7142d022bb95a5850bcf8fced2; root workspace, documentation, submodule, observer crate, experiments, and status reports reviewed.",focal,Capture–intervention–replay substrate and diagnostic benchmark.,"Completed scientific validation, universal reliability, or safety certification.","Execute preregistered experiments, external validation, and independent replication.",2026-07-12,https://github.com/sepahead/prisoma/tree/64bd881248463e7142d022bb95a5850bcf8fced2
pid-rs,direct dependency,Pinned Git submodule and canonical estimator/run-log implementation,E2; fixture-specific E3 possible,Prisoma tree pins 8a5a9dda601556443f956a2fba164cccc913ed2e and documents path dependencies into pid-rs crates. Post-pin main 70b45f7b75fac06777ea215a73df01209490311a adds an external csxpid fixture and stronger support/provenance contracts.,direct and reproducible at exact pin,"MI/PID estimation, synthetic fixtures, structured run-log support, and abstention contracts.",Independent validation; inheritance of post-pin changes; high-dimensional or dependent VLA application validity.,"Deliberate revision migration, independent reference calculation, matched-regime synthetic gates, archived old/new environments.",2026-07-12,https://github.com/sepahead/prisoma/tree/64bd881248463e7142d022bb95a5850bcf8fced2 ; https://github.com/sepahead/pid-rs/tree/8a5a9dda601556443f956a2fba164cccc913ed2e ; https://github.com/sepahead/pid-rs/commit/70b45f7b75fac06777ea215a73df01209490311a
NCP,direct optional dependency,Pinned optional dependency of excluded-by-default read-only observer,E2; fixture-specific E3 possible,Prisoma documents crates/ncp-observer as a read-only NCP tap pinned to v0.7.1; NCP documents Prisoma as an observation-plane observer.,direct optional observer path,Versioned observation transport and protocol/provenance fault-injection testbed.,Authenticated secure deployment by default; end-to-end live integration; Prisoma command authority.,"Conforming live producer, secure realm, clock/sequence/drop tests, noninterference proof, E4 report.",2026-07-12,https://github.com/sepahead/prisoma/tree/64bd881248463e7142d022bb95a5850bcf8fced2 ; https://github.com/sepahead/NCP/tree/v0.7.1
galadriel,candidate comparator,No direct Prisoma edge verified; shares pid-rs and NCP dependencies,E0 between projects; E2 to shared dependencies,Repository pins pid-rs and NCP and explicitly states compilation is not live integration evidence; current Crebain common projection and production publisher are absent.,indirect/shared-dependency context,"Comparator for NIS/CUSUM, signed correlation, cross-sensor consistency, and optional PID evidence.",Independent PID confirmation or production/live integration.,"Common recorded data contract, distinct non-PID comparison, end-to-end fixture/live report, account for correlated code errors.",2026-07-12,https://github.com/sepahead/galadriel
crebain,candidate producer/testbed,No direct Prisoma reference verified; NCP surfaces are dormant and off by default,E0 between projects,"Repository documents an opt-in NCP module, unregistered production commands, and no always-on Crebain–Engram loop.",none verified,"Multimodal embodiment, tracking/fusion, timing, sequence, and fault-injection producer.",Existing always-on ecosystem loop or current Prisoma integration.,"Read-only export adapter, frame/clock/action semantics, secure deployment, golden trajectories, E4 conformance.",2026-07-12,https://github.com/sepahead/crebain
crebain-native,historical/archived candidate,Native archived lineage of Crebain; no direct Prisoma edge verified,E0,Public repository metadata identifies it as an archived native Bevy/egui Crebain build.,none verified,Historical implementation comparison or lightweight simulation source.,Current supported adapter or maintained integration.,"Exact revision/status review, maintained schema, fixture, and conformance suite.",2026-07-12,https://github.com/sepahead/crebain-native
manwe,candidate producer/testbed,Explicitly no drop-in Prisoma adapter,E0/E1,"README states schemas, tensors, clocks, coordinate frames, and statistical assumptions differ and lists promotion gaps.",explicit negative compatibility statement,Perception producer and difficult adapter/shift/latency benchmark.,"Compatibility from common languages, maintainer, or downstream intent.",Satisfy schema/tensor/clock/frame/statistical gates and publish E4 conformance evidence.,2026-07-12,https://github.com/sepahead/manwe
engram,future candidate producer,Public placeholder; no executable public dependency,E0,Repository states code will be open sourced after publication; NCP describes an illustrative commander role.,architectural intention only,"Future neural-state, memory, or dynamics producer.","Current thesis dependency, executable integration, or reproducible source.","Public immutable release, license, executable fixture, variable semantics, read-only NCP E4 evidence.",2026-07-12,https://github.com/sepahead/engram ; https://github.com/sepahead/NCP/tree/v0.7.1
melkor,candidate scene/reconstruction producer,No direct Prisoma edge verified,E0,"Public 3D Gaussian Splatting conversion, inspection, reconstruction and viewing toolkit; no reviewed Prisoma reference.",none verified,Scene/reconstruction producer and measured reconstruction-quality nuisance variable.,Calibrated policy/PID uncertainty or existing Prisoma adapter.,"Versioned adapter, geometry calibration, license/model-term review, scientific benchmark.",2026-07-12,https://github.com/sepahead/melkor
WorldWarp,optional external world-model candidate,Prisoma has an integration specification; implemented adapter not verified,E1,Prisoma WORLD_WARP_INTEGRATION.md is an optional specification; sepahead repository is a fork of the upstream scene-generation project.,specification only,Generated-scene or counterfactual-support study.,Implemented critical-path integration or causal ground truth.,"Pinned upstream, adapter, support/identity/realism tests, compute/license/provenance gates.",2026-07-12,https://github.com/sepahead/prisoma/blob/64bd881248463e7142d022bb95a5850bcf8fced2/WORLD_WARP_INTEGRATION.md ; https://github.com/sepahead/WorldWarp
GauSS-MI concept,pre-implementation estimator concept,Prisoma specification only,E1,GAUSS_MI_INTEGRATION.md labels the work pre-implementation and describes weighted KSG as a heuristic requiring its own gate.,specification only,Potential reconstruction-quality covariate or active-view experiment.,Valid weighted PID estimator or current capability.,"Define estimand, derive estimator, matched oracle families, finite-sample and independent validation.",2026-07-12,https://github.com/sepahead/prisoma/blob/64bd881248463e7142d022bb95a5850bcf8fced2/GAUSS_MI_INTEGRATION.md
cobot-atlas,candidate asset source,No direct adapter/reference verified,E0,Public mesh-generation pipeline and hosted robot/cobot asset dataset.,none verified,"Controlled object, appearance, shape, and layout diversity.",Physics-valid benchmark solely from mesh count.,"Freeze asset revision; audit scale, collisions, duplicates, lineage, and per-asset rights; add adapter.",2026-07-12,https://github.com/sepahead/cobot-atlas
relief-atlas,candidate asset/stress domain,No direct adapter/reference verified,E0,Public large generated mesh collection with per-asset metadata/licensing caveat.,none verified,Later disaster-response scene transport or stress test.,Primary manipulation benchmark or blanket license/quality assurance.,"Per-asset rights, geometry/physics/quality review, ethical scope, frozen subset, adapter.",2026-07-12,https://github.com/sepahead/relief-atlas
cortexel,candidate visualization consumer,No direct Prisoma edge verified,E0,Public visualization-oriented project; no reviewed Prisoma reference.,none verified,Possible renderer of versioned scientific artifacts.,Visual agreement as analysis validation.,"Stable export contract, render regression tests, provenance and warning fidelity.",2026-07-12,https://github.com/sepahead/cortexel
silmaril-vision-studio,candidate inspection/prototyping consumer,No direct Prisoma edge verified,E0,Public computer-vision studio/testbed metadata; no reviewed adapter.,none verified,Manual inspection or vision-model prototyping surface.,Reproducible scientific integration.,"Versioned import/export, automated conformance, provenance retention.",2026-07-12,https://github.com/sepahead/silmaril-vision-studio
